ComplyX – Gap-Analyse-Fragebogen für KMU,,,,,,,,,
"Entwurf für den Prototyp: einfache Sprache, 31 Fragen, direkte Zuordnung zu BSIG/NIS2. Die Bewertung ist eine Orientierung und kein rechtsverbindlicher Compliance-Nachweis.",,,,,,,,,
Nr.,Kategorie,Frage in einfacher Sprache,Antwortmöglichkeiten,Hilfetext / Beispiel,Rechtsbezug,Priorität,Antwort (für Test),Punkte,Ergebnis
1,1 Verantwortung & Organisation,"Gibt es eine klar benannte Person oder ein Team, das für IT-Sicherheit verantwortlich ist?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Informationssicherheitsbeauftragte, IT-Leitung oder externer Dienstleister. Zuständigkeit und Vertretung sollten dokumentiert sein.",§ 38 Abs. 1 BSIG; Art. 20 Abs. 1 NIS2,Hoch,,,Noch nicht beantwortet
2,1 Verantwortung & Organisation,Beschließt und überwacht die Geschäftsleitung wichtige Maßnahmen zur IT-Sicherheit?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel regelmäßiger Sicherheitsbericht, Freigabe von Maßnahmen und Budget sowie dokumentierte Entscheidungen.",§ 38 Abs. 1 BSIG; Art. 20 Abs. 1 NIS2,Hoch,,,Noch nicht beantwortet
3,1 Verantwortung & Organisation,Nimmt die Geschäftsleitung regelmäßig an Schulungen zu Cyberrisiken und IT-Sicherheit teil?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,Schulungen sollten wiederholt stattfinden und zur Rolle der Geschäftsleitung passen.,§ 38 Abs. 3 BSIG; Art. 20 Abs. 2 NIS2,Hoch,,,Noch nicht beantwortet
4,2 Risiken & Überblick,"Gibt es eine schriftliche Risikoanalyse für IT-Systeme, Daten und wichtige Geschäftsprozesse?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Die Analyse sollte Bedrohungen, Schwachstellen, mögliche Schäden und vorhandene Schutzmaßnahmen enthalten.",§ 30 Abs. 2 Nr. 1 BSIG; Art. 21 Abs. 2 a NIS2,Hoch,,,Noch nicht beantwortet
5,2 Risiken & Überblick,Wird die Risikoanalyse regelmäßig und nach größeren Änderungen oder Sicherheitsvorfällen aktualisiert?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel mindestens jährlich sowie nach neuen Systemen, Umzügen, größeren Dienstleisterwechseln oder Vorfällen.",§ 30 Abs. 1 und Abs. 2 Nr. 1 BSIG; Art. 21 Abs. 1–2 NIS2,Hoch,,,Noch nicht beantwortet
6,2 Risiken & Überblick,"Ist bekannt, welche Geschäftsprozesse, IT-Systeme, Daten und Dienstleister für den Betrieb besonders wichtig sind?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Gemeint sind Abhängigkeiten, deren Ausfall den Betrieb stark beeinträchtigen würde.","§ 30 Abs. 1 und Abs. 2 Nr. 1, 9 BSIG; Art. 21 Abs. 1–2 NIS2",Hoch,,,Noch nicht beantwortet
7,2 Risiken & Überblick,"Gibt es eine aktuelle Übersicht über Geräte, Programme, Cloud-Dienste, Benutzerkonten und wichtige Daten?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Inventarliste mit Verantwortlichen, Standort, Version, Schutzbedarf und Lebenszyklus.",§ 30 Abs. 2 Nr. 9 BSIG; Art. 21 Abs. 2 i NIS2,Mittel,,,Noch nicht beantwortet
8,3 Zugriffe & Personal,"Erhalten Mitarbeitende nur die Zugriffsrechte, die sie für ihre Aufgaben benötigen, und werden diese Rechte regelmäßig geprüft?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,Prinzip der geringsten Rechte; besonders wichtig bei Administrationsrechten und sensiblen Daten.,§ 30 Abs. 2 Nr. 9 BSIG; Art. 21 Abs. 2 i NIS2,Hoch,,,Noch nicht beantwortet
9,3 Zugriffe & Personal,Werden Zugänge bei einem Stellenwechsel oder Austritt schnell angepasst oder gesperrt?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Es sollte ein klarer Eintritts-, Wechsel- und Austrittsprozess zwischen Personalbereich und IT bestehen.",§ 30 Abs. 2 Nr. 9 BSIG; Art. 21 Abs. 2 i NIS2,Hoch,,,Noch nicht beantwortet
10,3 Zugriffe & Personal,"Wird für besonders wichtige Zugänge, Administratorenkonten und Fernzugriffe eine Multi-Faktor-Authentifizierung genutzt?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,Zum Beispiel Passwort plus Authenticator-App oder Sicherheitsschlüssel.,§ 30 Abs. 2 Nr. 10 BSIG; Art. 21 Abs. 2 j NIS2,Hoch,,,Noch nicht beantwortet
