"KW";"Datum";"Bereich";"Aufgabe";"Was habe ich gemacht?";"Ergebnis / Output";"Stunden";"Status";"Problem / Blocker";"Nächster Schritt";"Notizen / Reflexion"
"21";"19.05.2026";"Projektsetup / Auth";"Repository und App-Grundlage initialisieren";"Next.js-/Supabase-Grundgerüst eingerichtet, Auth-Routen und geschützte Seiten angelegt, erste NIS2-Seitenstruktur erstellt und ungenutzte Template-Komponenten sowie Bilder entfernt.";"Lauffähige Projektbasis mit Login, Registrierung, Auth-Callback und ersten Fachrouten.";"5,0";"Erledigt";"Viele Bestandteile des Starter-Templates waren fachlich unpassend.";"Landingpage konkretisieren und Datenmodell anbinden.";"Frühes Aufräumen hat die Codebasis auf den Compliance-Anwendungsfall fokussiert."
"21";"21.05.2026";"Frontend / Auth";"Landingpage und Login-Navigation prototypisieren";"Landingpage ausgebaut, Redirects nach Login und Registrierung korrigiert und alte README-Inhalte entfernt.";"Erster öffentlicher Einstieg mit funktionierendem Übergang in den geschützten Bereich.";"2,5";"Erledigt";"Redirect-Logik zwischen öffentlichem und geschütztem Bereich war zunächst inkonsistent.";"Organisationen und fachliche Daten persistieren.";"Die Navigation wurde früh anhand des realen Nutzerflusses statt nur anhand statischer Seiten geprüft."
"21";"21.05.2026";"Datenbank";"Initiales Domänen-Schema aufbauen";"Umfangreiches Drizzle-Schema für Benutzer, Organisationen und Compliance-Daten modelliert sowie erste SQL-Migration und Metadaten erzeugt.";"Erste relationale Datenbankgrundlage mit nachvollziehbarer Migration.";"3,5";"Erledigt / später stark überarbeitet";"Das erste Schema war breit angelegt und noch nicht auf die späteren Workflows optimiert.";"Service- und API-Schicht für Organisationen ergänzen.";"Die frühe Modellierung machte Abhängigkeiten sichtbar, führte später aber bewusst zu mehreren Vereinfachungen."
"21";"22.05.2026";"Backend / Organisationen";"Organisationsverwaltung implementieren";"Organisation-Service, API-Routen, Zod-Validierung, Einladungsannahme, Erstellformular, Inbox und Organisationsseiten umgesetzt. Zusätzlich Datenbank- und API-Architektur dokumentiert.";"Organisationen konnten erstellt, angezeigt und über Einladungen verwaltet werden.";"8,0";"Erledigt / später weiterentwickelt";"Der erste Drizzle-Migrationsansatz erzeugte ungeeignete Snapshots und wurde am selben Tag umgestellt.";"Assessments organisationsbezogen anlegen und die App-Navigation strukturieren.";"Service, Validierung und UI wurden gemeinsam aufgebaut, wodurch der vollständige Ablauf früh testbar war."
"21";"23.05.2026";"Frontend / Organisations-Workflows";"App-Shell und Assessment-Navigation aufbauen";"Assessment-Erstellung und -Routen ergänzt, Seiten unter /tool gebündelt, Sidebar, Topbar und Organisationswechsler aufgebaut sowie Cache-Probleme bei Assessment-Listen korrigiert.";"Konsistente Werkzeug-Navigation mit organisationsbezogenen Assessments und wiederverwendbarer App-Shell.";"5,0";"Erledigt / später visuell überarbeitet";"Routen und Layout-Komponenten waren anfangs mehrfach verschachtelt, wodurch Cache- und Navigationsfehler entstanden.";"Organisationseinstellungen und Benutzerprofil ergänzen.";"Die Bündelung unter /tool schuf eine klare Grenze zwischen öffentlicher Website und Anwendung."
"21";"23.05.2026";"Auth / Internationalisierung / UI";"Einstellungen, Profil und Mehrsprachigkeit ergänzen";"Organisations- und Team-Einstellungen, Profilmenü, aktive Sidebar-Zustände, Deutsch/Englisch-Wörterbuch, Sprachumschalter und Theme-Switcher umgesetzt. Logout und Login-Styling korrigiert, DB-Reset-Skript ergänzt.";"Grundlegende Benutzer- und Organisationseinstellungen sowie zweisprachige Oberfläche.";"4,0";"Erledigt / Theme später ersetzt";"Viele Texte waren zunächst direkt in Komponenten verteilt, Logout und Login-Styles hatten Folgefehler.";"KI-Assistent und Dokumentenbezug prototypisieren.";"Die zentrale i18n-Struktur war ein wichtiger Schritt, musste bei wachsendem Umfang später modularisiert werden."
"21";"24.05.2026";"KI / RAG";"Dokumentenbasierten Compliance-Assistenten entwickeln";"Chat-API, Organisationsdokument-Upload, Chunking und Retrieval, Quellenanzeige, Chat-Historie, mehrere Modellprovider und Prompt-Modi umgesetzt. Prompt-Verträge, Zitierregeln, Antwortvalidierung, Debug-Seite und erste Evals ergänzt.";"Erster RAG-gestützter Compliance-Chat mit Dokumentquellen, Modellwahl und Qualitätsprüfungen.";"7,0";"Erledigt / Architektur später ersetzt";"Embedding- und Chatmodelle mussten kompatibel gehalten werden, Quellenbezug und Halluzinationsschutz waren noch experimentell.";"Provider reduzieren, RLS prüfen und KI-Schnittstellen stabilisieren.";"Schon im Prototyp wurden Zitierbarkeit und Evaluierung als Produktanforderung behandelt."
"22";"25.05.2026";"KI / Wartung";"KI-Provider vereinfachen";"Anthropic-Unterstützung und zugehörige Verzweigungen entfernt, Modell- und Prompt-Dokumentation angepasst.";"Schlankere KI-Konfiguration mit weniger ungetesteten Providerpfaden.";"1,0";"Erledigt";"Mehrere Provider erhöhten Komplexität und Testaufwand ohne stabilen Mehrwert.";"Verbleibenden Provider und RAG-Pipeline absichern.";"Das frühe Entfernen unnötiger Varianten reduzierte Folgekosten."
"22";"25.05.2026";"Datenbank / Security";"Row-Level Security erproben";"RLS-Regeln und Schemaänderungen für organisationsbezogene Daten ergänzt und die Datenbankdokumentation erweitert.";"Erster RLS-Entwurf als Basis für weitere Sicherheitsarbeit.";"1,5";"Blockiert / später zurückgenommen";"Die Regeln funktionierten im damaligen Datenmodell noch nicht zuverlässig.";"RLS-Änderungen zurücknehmen und Schema zunächst stabilisieren.";"Die Änderung wurde bewusst nicht als fertig betrachtet und später sauber revertiert."
"22";"28.05.2026";"Datenbank / Security";"Fehlerhaften RLS-Ansatz zurücknehmen";"Nicht funktionierende RLS-Schemaänderungen vollständig revertiert und Drizzle-Konfiguration bereinigt.";"Datenbank wieder auf einem konsistenten, lauffähigen Stand.";"1,5";"Erledigt";"Der vorherige RLS-Entwurf war mit den aktuellen Zugriffswegen nicht kompatibel.";"Neues Schema auf Basis konkreter Anforderungen entwickeln.";"Ein sauberer Revert war sinnvoller als weitere Korrekturen auf einer instabilen Grundlage."
